id,imdb_id,popularity,budget,revenue,original_title,cast,director,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj,number_of_cast,number_of_director,genre_count
257344,tt2120120,5.984995,88000000,243637091,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,105,Action|Comedy|Science Fiction,1575,5.8,2015,80959964.3776156,224146025.095748,5,1,3
99861,tt2395427,5.944927,280000000,1405035767,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,141,Action|Adventure|Science Fiction,4304,7.4,2015,257599886.656049,1292632336.88177,5,1,3
273248,tt3460252,5.8984,44000000,155760117,The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Quentin Tarantino,167,Crime|Drama|Mystery|Western,2389,7.4,2015,40479982.1888078,143299244.588332,5,1,4
260346,tt2446042,5.749758,48000000,325771424,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,109,Crime|Action|Thriller,1578,6.1,2015,44159980.5696085,299709578.207785,5,1,3
102899,tt0478970,5.573184,130000000,518602163,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,115,Science Fiction|Action|Adventure,3779,7.0,2015,119599947.376023,477113780.029936,5,1,3
150689,tt1661199,5.556818,95000000,542351353,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,112,Romance|Fantasy|Family|Drama,1495,6.8,2015,87399961.5440169,498963025.216268,5,1,4
131634,tt1951266,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,136,War|Adventure|Science Fiction,2380,6.5,2015,147199935.232028,598481289.508232,5,1,3
158852,tt1964418,5.462138,190000000,209035668,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,130,Action|Family|Science Fiction|Adventure|Mystery,1899,6.2,2015,174799923.088033,192312729.942398,5,1,5
307081,tt1798684,5.337064,30000000,91709827,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,123,Action|Drama,1386,7.3,2015,27599987.8560053,84373003.7158783,5,1,2
254128,tt2126355,4.907832,110000000,470490832,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,114,Action|Drama|Thriller,2060,6.1,2015,101199955.472019,432851374.985395,5,1,3
